구간시작시각,VDS_ID,연결방향,방향코드,VDS이정_km,도로이정_km,콘존ID,콘존명,콘존길이_km,원시행수,관측시각수,차로수,교통량_5분,평균속도_5분_km_h,점유율_5분_pct,속도관측행수,점유율유효행수,음수오류행수,전부0행수,속도관측비율,전부0비율,품질상태
2026-08-20 00:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,143.0,96.15,0.394,44,50,0,6,0.8800,0.1200,OK
2026-08-20 00:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,134.0,97.03,0.395,47,50,0,3,0.9400,0.0600,OK
2026-08-20 00:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,162.0,97.01,0.403,45,50,0,5,0.9000,0.1000,OK
2026-08-20 00:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,132.0,96.63,0.438,47,50,0,3,0.9400,0.0600,OK
2026-08-20 00:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,168.0,95.89,0.461,49,50,0,1,0.9800,0.0200,OK
2026-08-20 00:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,129.0,98.53,0.397,44,50,0,6,0.8800,0.1200,OK
2026-08-20 00:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,173.0,95.59,0.425,47,50,0,3,0.9400,0.0600,OK
2026-08-20 00:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,134.0,95.29,0.411,47,50,0,3,0.9400,0.0600,OK
2026-08-20 00:40:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,132.0,98.99,0.438,47,50,0,3,0.9400,0.0600,OK
2026-08-20 00:45:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,143.0,99.76,0.414,48,50,0,2,0.9600,0.0400,OK
2026-08-20 00:50:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,126.0,96.58,0.415,46,50,0,4,0.9200,0.0800,OK
2026-08-20 00:55:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,136.0,97.35,0.424,46,50,0,4,0.9200,0.0800,OK
2026-08-20 01:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,119.0,96.24,0.389,43,50,0,7,0.8600,0.1400,OK
2026-08-20 01:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,117.0,97.44,0.400,44,50,0,6,0.8800,0.1200,OK
2026-08-20 01:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,115.0,95.36,0.446,44,50,0,6,0.8800,0.1200,OK
2026-08-20 01:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,128.0,96.52,0.453,46,50,0,4,0.9200,0.0800,OK
2026-08-20 01:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,112.0,98.31,0.377,44,50,0,6,0.8800,0.1200,OK
2026-08-20 01:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,101.0,97.23,0.418,44,50,0,6,0.8800,0.1200,OK
2026-08-20 01:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,108.0,93.60,0.363,41,50,0,9,0.8200,0.1800,OK
2026-08-20 01:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,98.0,96.26,0.391,40,50,0,10,0.8000,0.2000,OK
2026-08-20 01:40:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,91.0,100.27,0.350,39,50,0,11,0.7800,0.2200,OK
2026-08-20 01:45:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,91.0,93.77,0.399,40,50,0,10,0.8000,0.2000,OK
2026-08-20 01:50:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,84.0,91.98,0.414,40,50,0,10,0.8000,0.2000,OK
2026-08-20 01:55:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,95.0,93.59,0.383,36,50,0,14,0.7200,0.2800,OK
2026-08-20 02:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,89.0,94.61,0.407,41,50,0,9,0.8200,0.1800,OK
2026-08-20 02:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,94.0,90.43,0.429,41,50,0,9,0.8200,0.1800,OK
2026-08-20 02:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,98.0,93.05,0.389,39,50,0,11,0.7800,0.2200,OK
2026-08-20 02:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,93.0,90.67,0.423,38,50,0,12,0.7600,0.2400,OK
2026-08-20 02:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,97.0,91.72,0.408,41,50,0,9,0.8200,0.1800,OK
2026-08-20 02:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,79.0,90.35,0.395,38,50,0,12,0.7600,0.2400,OK
2026-08-20 02:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,86.0,90.86,0.430,41,50,0,9,0.8200,0.1800,OK
2026-08-20 02:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,75.0,89.07,0.387,38,50,0,12,0.7600,0.2400,OK
2026-08-20 02:40:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,73.0,93.67,0.260,28,50,0,22,0.5600,0.4400,OK
2026-08-20 02:45:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,71.0,89.27,0.422,39,50,0,11,0.7800,0.2200,OK
2026-08-20 02:50:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,70.0,91.06,0.376,36,50,0,14,0.7200,0.2800,OK
2026-08-20 02:55:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,81.0,89.38,0.403,37,50,0,13,0.7400,0.2600,OK
2026-08-20 03:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,76.0,91.64,0.436,37,50,0,13,0.7400,0.2600,OK
2026-08-20 03:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,74.0,93.51,0.378,36,50,0,14,0.7200,0.2800,OK
2026-08-20 03:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,65.0,88.15,0.351,32,50,0,18,0.6400,0.3600,OK
2026-08-20 03:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,83.0,94.01,0.398,38,50,0,12,0.7600,0.2400,OK
2026-08-20 03:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,71.0,93.20,0.407,37,50,0,13,0.7400,0.2600,OK
2026-08-20 03:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,87.0,90.70,0.421,41,50,0,9,0.8200,0.1800,OK
2026-08-20 03:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,78.0,90.59,0.419,41,50,0,9,0.8200,0.1800,OK
2026-08-20 03:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,95.0,87.04,0.449,40,50,0,10,0.8000,0.2000,OK
2026-08-20 03:40:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,87.0,88.33,0.488,39,50,0,11,0.7800,0.2200,OK
2026-08-20 03:45:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,82.0,96.22,0.420,40,50,0,10,0.8000,0.2000,OK
2026-08-20 03:50:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,78.0,89.68,0.420,39,50,0,11,0.7800,0.2200,OK
2026-08-20 03:55:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,72.0,92.62,0.385,37,50,0,13,0.7400,0.2600,OK
2026-08-20 04:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,111.0,84.70,0.534,43,50,0,7,0.8600,0.1400,OK
2026-08-20 04:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,96.0,89.48,0.417,36,50,0,14,0.7200,0.2800,OK
2026-08-20 04:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,101.0,87.50,0.473,42,50,0,8,0.8400,0.1600,OK
2026-08-20 04:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,94.0,89.96,0.454,40,50,0,10,0.8000,0.2000,OK
2026-08-20 04:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,103.0,90.40,0.465,42,50,0,8,0.8400,0.1600,OK
2026-08-20 04:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,121.0,90.55,0.500,44,50,0,6,0.8800,0.1200,OK
2026-08-20 04:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,106.0,91.97,0.477,43,50,0,7,0.8600,0.1400,OK
2026-08-20 04:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,97.0,88.13,0.478,41,50,0,9,0.8200,0.1800,OK
2026-08-20 04:40:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,131.0,88.52,0.504,45,50,0,5,0.9000,0.1000,OK
2026-08-20 04:45:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,126.0,90.19,0.444,43,50,0,7,0.8600,0.1400,OK
2026-08-20 04:50:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,138.0,94.30,0.464,46,50,0,4,0.9200,0.0800,OK
2026-08-20 04:55:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,149.0,89.42,0.533,48,50,0,2,0.9600,0.0400,OK
2026-08-20 05:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,149.0,91.83,0.517,49,50,0,1,0.9800,0.0200,OK
2026-08-20 05:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,172.0,91.95,0.516,48,50,0,2,0.9600,0.0400,OK
2026-08-20 05:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,175.0,91.82,0.484,47,50,0,3,0.9400,0.0600,OK
2026-08-20 05:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,206.0,90.76,0.509,45,45,5,0,0.9000,0.0000,ERROR_VALUE
2026-08-20 05:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,239.0,86.10,0.526,49,50,0,1,0.9800,0.0200,OK
2026-08-20 05:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,265.0,90.40,0.531,50,50,0,0,1.0000,0.0000,OK
2026-08-20 05:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,281.0,91.76,0.513,50,50,0,0,1.0000,0.0000,OK
2026-08-20 05:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,279.0,89.92,0.541,50,50,0,0,1.0000,0.0000,OK
2026-08-20 05:40:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,323.0,90.25,0.517,50,50,0,0,1.0000,0.0000,OK
2026-08-20 05:45:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,316.0,92.45,0.508,50,50,0,0,1.0000,0.0000,OK
2026-08-20 05:50:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,382.0,90.66,0.508,50,50,0,0,1.0000,0.0000,OK
2026-08-20 05:55:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,402.0,89.95,0.523,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,428.0,88.34,0.524,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,395.0,93.55,0.468,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,412.0,89.56,0.496,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,465.0,87.66,0.501,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,474.0,90.23,0.477,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,469.0,88.58,0.512,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,487.0,89.10,0.504,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,465.0,86.83,0.495,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:40:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,488.0,88.44,0.474,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:45:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,504.0,87.49,0.484,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:50:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,500.0,90.28,0.475,50,50,0,0,1.0000,0.0000,OK
2026-08-20 06:55:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,442.0,86.69,0.474,50,50,0,0,1.0000,0.0000,OK
2026-08-20 07:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,487.0,84.48,0.512,50,50,0,0,1.0000,0.0000,OK
2026-08-20 07:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,432.0,84.11,0.507,49,50,0,1,0.9800,0.0200,OK
2026-08-20 07:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,420.0,85.30,0.500,49,50,0,1,0.9800,0.0200,OK
2026-08-20 07:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,422.0,85.23,0.481,48,50,0,2,0.9600,0.0400,OK
2026-08-20 07:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,424.0,85.52,0.505,49,50,0,1,0.9800,0.0200,OK
2026-08-20 07:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,416.0,85.47,0.494,49,50,0,1,0.9800,0.0200,OK
2026-08-20 07:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,397.0,85.92,0.497,49,50,0,1,0.9800,0.0200,OK
2026-08-20 07:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,399.0,86.23,0.489,49,50,0,1,0.9800,0.0200,OK
2026-08-20 07:40:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,355.0,86.37,0.497,49,50,0,1,0.9800,0.0200,OK
2026-08-20 07:45:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,402.0,82.93,0.510,50,50,0,0,1.0000,0.0000,OK
2026-08-20 07:50:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,398.0,84.73,0.503,49,50,0,1,0.9800,0.0200,OK
2026-08-20 07:55:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,382.0,87.61,0.492,50,50,0,0,1.0000,0.0000,OK
2026-08-20 08:00:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,341.0,87.29,0.453,44,50,0,6,0.8800,0.1200,OK
2026-08-20 08:05:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,422.0,85.57,0.508,50,50,0,0,1.0000,0.0000,OK
2026-08-20 08:10:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,373.0,88.12,0.465,48,50,0,2,0.9600,0.0400,OK
2026-08-20 08:15:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,389.0,90.20,0.495,50,50,0,0,1.0000,0.0000,OK
2026-08-20 08:20:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,391.0,89.78,0.457,49,50,0,1,0.9800,0.0200,OK
2026-08-20 08:25:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,369.0,87.72,0.468,49,50,0,1,0.9800,0.0200,OK
2026-08-20 08:30:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,356.0,88.09,0.480,49,50,0,1,0.9800,0.0200,OK
2026-08-20 08:35:00,0010VDE31400,반대 방향,E,406.50,403.30,0010CZE470,서울TG-판교IC,3.640,50,10,5,336.0,90.48,0.441,47,50,0,3,0.9400,0.0600,OK
